ID	Overlap	P-value	Adjusted	P-value	Old	P-value	Old	Adjusted	P-value	Odds	Ratio	Combined	Score	Genes
GO:2000136	1/5	4.999362185987752E-4	0.0042491531014809064	0	0	4998.5	37993.74860736107	ENG
GO:0055009	1/5	4.999362185987752E-4	0.0042491531014809064	0	0	4998.5	37993.74860736107	ENG
GO:0051152	1/5	4.999362185987752E-4	0.0042491531014809064	0	0	4998.5	37993.74860736107	ENG
GO:1905007	1/5	4.999362185987752E-4	0.0042491531014809064	0	0	4998.5	37993.74860736107	ENG
GO:0048845	1/6	5.99909243874975E-4	0.0042491531014809064	0	0	3998.6	29664.54247254577	ENG
GO:0035907	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:0035912	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:1905065	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:0097084	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:0062043	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:1905063	1/7	6.998773712248138E-4	0.0042491531014809064	0	0	3332.0	24205.66526687677	ENG
GO:0035886	1/8	7.998405838081707E-4	0.0042491531014809064	0	0	2855.8571428571427	20365.397503539738	ENG
GO:0060841	1/8	7.998405838081707E-4	0.0042491531014809064	0	0	2855.8571428571427	20365.397503539738	ENG
GO:0003230	1/8	7.998405838081707E-4	0.0042491531014809064	0	0	2855.8571428571427	20365.397503539738	ENG
GO:0003222	1/8	7.998405838081707E-4	0.0042491531014809064	0	0	2855.8571428571427	20365.397503539738	ENG
GO:1905005	1/8	7.998405838081707E-4	0.0042491531014809064	0	0	2855.8571428571427	20365.397503539738	ENG
GO:0003198	1/9	8.997988691311835E-4	0.004472575710977223	0	0	2498.75	17524.581571772524	ENG
GO:0048745	1/10	9.997522177478497E-4	0.004472575710977223	0	0	2221.0	15342.674867192924	ENG
GO:0031953	1/10	9.997522177478497E-4	0.004472575710977223	0	0	2221.0	15342.674867192924	ENG
GO:0010665	1/11	0.0010997006223853795	0.004673727645137862	0	0	1998.8	13617.259334619379	ENG
GO:0060537	1/13	0.0012995825766743945	0.005021114500787433	0	0	1665.5	11068.433604049718	ENG
GO:0042761	1/13	0.0012995825766743945	0.005021114500787433	0	0	1665.5	11068.433604049718	TECRL
GO:0001569	1/14	0.0013995161171866655	0.005172124780907242	0	0	1537.3076923076924	10102.615401748275	ENG
GO:0035909	1/17	0.0016992869527882334	0.005663870328105844	0	0	1248.875	7964.758454432207	ENG
GO:0072132	1/17	0.0016992869527882334	0.005663870328105844	0	0	1248.875	7964.758454432207	ENG
